Date,Tiker,Price
2018-01-02,TIK1,10.980000
2018-01-03,TIK1,11.550000
2018-01-04,TIK1,12.120000
2018-01-05,TIK1,11.880000
2018-01-08,TIK1,12.280000
2018-01-09,TIK1,11.820000
2018-01-10,TIK1,11.960000
2018-01-11,TIK1,12.140000
2018-01-12,TIK1,12.020000
2018-01-16,TIK1,11.910000
2018-01-17,TIK1,12.180000
2018-01-18,TIK1,12.470000
2018-01-19,TIK1,12.590000
2018-01-22,TIK1,12.650000
2018-01-23,TIK1,12.940000
2018-01-24,TIK1,12.710000
2018-01-25,TIK1,12.410000
2018-01-26,TIK1,12.950000
2018-01-29,TIK1,13.320000
2018-01-30,TIK1,12.870000
2018-01-31,TIK1,13.740000
2018-02-01,TIK1,13.250000
2018-02-02,TIK1,12.450000
2018-02-05,TIK1,11.570000
2018-02-06,TIK1,11.650000
2018-02-07,TIK1,11.600000
2018-02-08,TIK1,11.220000
2018-02-09,TIK1,11.310000
2018-02-12,TIK1,11.680000
2018-02-13,TIK1,11.780000
2018-02-14,TIK1,12.200000
2018-02-15,TIK1,12.190000
2018-02-16,TIK1,11.820000
2018-02-20,TIK1,12.020000
2018-02-21,TIK1,11.720000
2018-02-22,TIK1,11.840000
2018-02-23,TIK1,12.070000
2018-02-26,TIK1,12.420000
2018-02-27,TIK1,12.530000
2018-02-28,TIK1,12.110000
2018-03-01,TIK1,11.900000
2018-03-02,TIK1,11.810000
2018-03-05,TIK1,11.910000
2018-03-06,TIK1,11.760000
2018-03-07,TIK1,12.240000
2018-03-08,TIK1,11.970000
2018-03-09,TIK1,11.700000
2018-03-12,TIK1,11.520000
2018-03-13,TIK1,11.640000
2018-03-14,TIK1,11.360000
2018-03-15,TIK1,11.460000
2018-03-16,TIK1,11.470000
2018-03-19,TIK1,11.430000
2018-03-20,TIK1,11.110000
2018-03-21,TIK1,11.260000
2018-03-22,TIK1,10.910000
2018-03-23,TIK1,10.630000
2018-03-26,TIK1,10.440000
2018-03-27,TIK1,10.000000
2018-03-28,TIK1,9.810000
2018-03-29,TIK1,10.050000
2018-04-02,TIK1,9.530000
2018-04-03,TIK1,9.550000
2018-04-04,TIK1,9.770000
2018-04-05,TIK1,10.020000
2018-04-06,TIK1,9.610000
2018-04-09,TIK1,9.530000
2018-04-10,TIK1,9.980000
2018-04-11,TIK1,9.820000
2018-04-12,TIK1,10.080000
2018-04-13,TIK1,9.930000
2018-04-16,TIK1,10.090000
2018-04-17,TIK1,10.520000
2018-04-18,TIK1,10.360000
2018-04-19,TIK1,10.110000
2018-04-20,TIK1,9.990000
2018-04-23,TIK1,10.040000
2018-04-24,TIK1,10.090000
2018-04-25,TIK1,9.710000
2018-04-26,TIK1,11.040000
2018-04-27,TIK1,11.110000
2018-04-30,TIK1,10.880000
2018-05-01,TIK1,11.130000
2018-05-02,TIK1,10.970000
2018-05-03,TIK1,10.930000
2018-05-04,TIK1,11.280000
2018-05-07,TIK1,11.590000
2018-05-08,TIK1,11.610000
2018-05-09,TIK1,11.950000
2018-05-10,TIK1,12.130000
2018-05-11,TIK1,11.950000
2018-05-14,TIK1,12.230000
2018-05-15,TIK1,12.450000
2018-05-16,TIK1,12.820000
2018-05-17,TIK1,12.820000
2018-05-18,TIK1,13.000000
2018-05-21,TIK1,12.990000
2018-05-22,TIK1,12.980000
2018-05-23,TIK1,13.100000
2018-05-24,TIK1,13.410000
2018-05-25,TIK1,13.540000
2018-05-29,TIK1,13.360000
2018-05-30,TIK1,13.820000
2018-05-31,TIK1,13.730000
2018-06-01,TIK1,14.400000
2018-06-04,TIK1,14.850000
2018-06-05,TIK1,14.850000
2018-06-06,TIK1,15.670000
2018-06-07,TIK1,14.890000
2018-06-08,TIK1,15.250000
2018-06-11,TIK1,15.730000
2018-06-12,TIK1,15.850000
2018-06-13,TIK1,16.320000
2018-06-14,TIK1,16.250000
2018-06-15,TIK1,16.340000
2018-06-18,TIK1,17.110001
2018-06-19,TIK1,16.690001
2018-06-20,TIK1,16.520000
2018-06-21,TIK1,15.650000
2018-06-22,TIK1,15.800000
2018-06-25,TIK1,15.110000
2018-06-26,TIK1,15.500000
2018-06-27,TIK1,14.970000
2018-06-28,TIK1,15.310000
2018-06-29,TIK1,14.990000
2018-07-02,TIK1,15.160000
2018-07-03,TIK1,15.000000
2018-07-05,TIK1,15.500000
2018-07-06,TIK1,16.360001
2018-07-09,TIK1,16.610001
2018-07-10,TIK1,16.549999
2018-07-11,TIK1,16.270000
2018-07-12,TIK1,16.559999
2018-07-13,TIK1,16.270000
2018-07-16,TIK1,16.580000
2018-07-17,TIK1,16.870001
2018-07-18,TIK1,16.850000
2018-07-19,TIK1,16.709999
2018-07-20,TIK1,16.500000
2018-07-23,TIK1,16.660000
2018-07-24,TIK1,16.190001
2018-07-25,TIK1,16.049999
2018-07-26,TIK1,18.350000
2018-07-27,TIK1,18.940001
2018-07-30,TIK1,19.420000
2018-07-31,TIK1,18.330000
2018-08-01,TIK1,18.480000
2018-08-02,TIK1,18.790001
2018-08-03,TIK1,18.490000
